Username,number- not needed,Email,Password,First Name,Last Name,Pronouns,University,Birthday,Academic Skills,Fitness Interests,Getting Help,Giving Help,Ratings,Profile Picture,Bio,Major,Grad Year
GraceMurphy1,1,GraceMurphy@uni.edu,n2A!d4Yz*8,Grace,Murphy,She/Her,Indiana University Bloomington,5/2/97,"Calculus, Music","Cardio, Golfing, Pilates, Zumba",yes,yes,4,,"Hi there, my name is Grace Murphy! Some of my interests include Cardio, Golfing, Pilates, Zumba, and Calculus, Music, and my major is Mathematics. Can't wait to meet you!",Mathematics,2023
CalebSingh6,6,CalebSingh@uni.edu,v9E*h5Tg1@,Caleb,Singh,He/Him,University of Maryland,8/13/95,"Chemistry, Sociology","Running, Strength, Weightlifting",yes,yes,5,,"Hi there, my name is Caleb Singh! Some of my interests include Running, Strength, Weightlifting, and Chemistry, Sociology, and my major is Civil Engineering. Can't wait to meet you!",Civil Engineering,2024
LillianDavis6,6,LillianDavis@uni.edu,z6X*i2Fz@7,Lillian,Davis,She/Her,University of Michigan,1/26/01,"Foreign Languages, Writing",Dance,yes,yes,2,,"Hi there, my name is Lillian Davis! Some of my interests include Dance, and Foreign Languages, Writing, and my major is Psychology. Can't wait to meet you!",Psychology,2025
HunterLee3,3,HunterLee@uni.edu,m3W%i8Sj2@,Hunter,Lee,He/Him,Michigan State University ,6/18/98,"Finite Math, Physics",Weighlifting,,yes,5,,"Hi there, my name is Hunter Lee! Some of my interests include Weighlifting, and Finite Math, Physics, and my major is Economics. Can't wait to meet you!",Economics,2026
MiaSantos1,1,MiaSantos@uni.edu,t9D%i1Nz@5,Mia,Santos,She/Her,Ohio State University,12/7/99,"Algebra, Literature, History","CrossFit, Cycling",,yes,3,,"Hi there, my name is Mia Santos! Some of my interests include CrossFit, Cycling, and Algebra, Literature, History, and my major is Environmental Studies. Can't wait to meet you!",Environmental Studies,2015
LoganRossi2,2,LoganRossi@uni.edu,c5K%i2Uz*9,Logan,Rossi,He/Him,Pennsylvania State University,4/24/96,"Political Science, Psychology",Pilates,,yes,4,,"Hi there, my name is Logan Rossi! Some of my interests include Pilates, and Political Science, Psychology, and my major is Film Studies. Can't wait to meet you!",Film Studies,2027
ChloeSmith6,6,ChloeSmith@uni.edu,i4R%i7Hg!2,Chloe,Smith,She/Her,Rutgers University,10/1/02,"Science, Trigonometry",CrossFit,yes,yes,4,,"Hi there, my name is Chloe Smith! Some of my interests include CrossFit, and Science, Trigonometry, and my major is International Relations. Can't wait to meet you!",International Relations,2015
EliKim5,5,EliKim@uni.edu,r3V%i8Pz*5,Eli,Kim,He/Him,University of Illinois - Urbana Champaign,2/11/97,"Statistics, Philosophy",Golfing,yes,,3,,"Hi there, my name is Eli Kim! Some of my interests include Golfing, and Statistics, Philosophy, and my major is Chemistry. Can't wait to meet you!",Chemistry,2016
IsabellaRodriguez7,7,IsabellaRodriguez@uni.edu,w7H%i2Lz!6,Isabella,Rodriguez,She/Her,University of Minnesota,8/29/01,"Speaking, Accounting, Computer Science",Golfing,yes,,4,,"Hi there, my name is Isabella Rodriguez! Some of my interests include Golfing, and Speaking, Accounting, Computer Science, and my major is Art History. Can't wait to meet you!",Art History,2017
WyattPatel2,2,WyattPatel@uni.edu,s5K%i1,Wyatt,Patel,He/Him,University of Nebraska,11/20/94,"Economics, Geometry",Running,yes,,2,,"Hi there, my name is Wyatt Patel! Some of my interests include Running, and Economics, Geometry, and my major is Linguistics. Can't wait to meet you!",Linguistics,2018
SophiaNguyen5,5,SophiaNguyen@uni.edu,r3V%i8Pz*5,Sophia,Nguyen,She/Her,Northwestern University,5/6/00,"Writing, Probability","Running, Strength, Weightlifting",yes,,2,,"Hi there, my name is Sophia Nguyen! Some of my interests include Running, Strength, Weightlifting, and Writing, Probability, and my major is Computer Science. Can't wait to meet you!",Computer Science,2019
TylerHernandez5,5,TylerHernandez@uni.edu,w7H%i2Lz!6,Tyler,Hernandez,He/Him,Purdue University,9/15/98,"Foreign Languages, Political Science, Sociology","Dance, Yoga",yes,,4,,"Hi there, my name is Tyler Hernandez! Some of my interests include Dance, Yoga, and Foreign Languages, Political Science, Sociology, and my major is Social Work. Can't wait to meet you!",Social Work,2020
EmilyGarcia5,5,EmilyGarcia@uni.edu,s5K%i1Gy8@,Emily,Garcia,She/Her,University of Wisconsin-Madison,3/2/95,"Music, Calculus","Yoga, Walking",yes,,4,,"Hi there, my name is Emily Garcia! Some of my interests include Yoga, Walking, and Music, Calculus, and my major is Philosophy. Can't wait to meet you!",Philosophy,2021
DylanWang1,1,DylanWang@uni.edu,q4P%i8Cz*3,Dylan,Wang,He/Him,Indiana University Bloomington,7/11/99,"Physics, Algebra","Weightlifting, Yoga, Zumba",yes,,3,,"Hi there, my name is Dylan Wang! Some of my interests include Weightlifting, Yoga, Zumba, and Physics, Algebra, and my major is Human Resource Management. Can't wait to meet you!",Human Resource Management,2022
AbigailJohnson3,3,AbigailJohnson@uni.edu,g2S%i9Ez!1,Abigail,Johnson,She/Her,University of Maryland,1/17/96,History,"Cardio, Golfing, Cycling, Pilates",yes,,4,,"Hi there, my name is Abigail Johnson! Some of my interests include Cardio, Golfing, Cycling, Pilates, and History, and my major is Public Health. Can't wait to meet you!",Public Health,2023
AnthonySilva8,8,AnthonySilva@uni.edu,j7F%i5Wz@3,Anthony,Silva,She/Her,University of Michigan,6/24/02,"Statistics, Probability","Strength, Swimming, Zumba",yes,,3,,"Hi there, my name is Anthony Silva! Some of my interests include Strength, Swimming, Zumba, and Statistics, Probability, and my major is Architecture. Can't wait to meet you!",Architecture,2024
AveryLopez8,8,AveryLopez@uni.edu,e6Z%i1Nz!4,Avery,Lopez,They/Them,Michigan State University ,10/10/97,"Biology, Finite Math","Dance, Running, Zumba",yes,,4,,"Hi there, my name is Avery Lopez! Some of my interests include Dance, Running, Zumba, and Biology, Finite Math, and my major is Marketing. Can't wait to meet you!",Marketing,2025
IsaacTakahashi5,5,IsaacTakahashi@uni.edu,l8U%i3Xy9@,Isaac,Takahashi,He/Him,Ohio State University,4/30/98,"Chemistry, Literature, Trigonometry",Boxing,yes,,2,,"Hi there, my name is Isaac Takahashi! Some of my interests include Boxing, and Chemistry, Literature, Trigonometry, and my major is Business Management. Can't wait to meet you!",Business Management,2026
NatalieAli5,5,NatalieAli@uni.edu,b7M%i4Tz*1,Natalie,Ali,She/Her,Pennsylvania State University,12/13/01,"Philosophy, Science, Speaking","Running, Martial Arts, Strength",yes,,5,,"Hi there, my name is Natalie Ali! Some of my interests include Running, Martial Arts, Strength, and Philosophy, Science, Speaking, and my major is Biomedical Engineering. Can't wait to meet you!",Biomedical Engineering,2015
JamesMartinez2,2,JamesMartinez@uni.edu,p5C%i2Vz!3,James,Martinez,He/Him,Rutgers University,8/22/95,"Computer Science, Accounting","Hiking, Cycling, Zumba",yes,,2,,"Hi there, my name is James Martinez! Some of my interests include Hiking, Cycling, Zumba, and Computer Science, Accounting, and my major is Spanish. Can't wait to meet you!",Spanish,2027
HarperKimura2,2,HarperKimura@uni.edu,x4A%i8Bz*7,Harper,Kimura,They/Them,University of Illinois - Urbana Champaign,2/5/00,"Political Science, Geometry, Writing","Cardio, Golfing, Cycling, Zumba",yes,,2,,"Hi there, my name is Harper Kimura! Some of my interests include Cardio, Golfing, Cycling, Zumba, and Political Science, Geometry, Writing, and my major is Theater Arts. Can't wait to meet you!",Theater Arts,2015
LucasMurphy7,7,LucasMurphy@uni.edu,h3I%i9Oz@1,Lucas,Murphy,He/Him,University of Minnesota,5/19/96,"Economics, Sociology","Dance, Pilates, Weightlifting",yes,,4,,"Hi there, my name is Lucas Murphy! Some of my interests include Dance, Pilates, Weightlifting, and Economics, Sociology, and my major is Accounting. Can't wait to meet you!",Accounting,2016
JordanSingh3,3,JordanSingh@uni.edu,f1G%i6Sj2@,Jordan,Singh,He/Him,University of Nebraska,3/14/98,"History, Probability","Running, Weightlifting",,yes,4,,"Hi there, my name is Jordan Singh! Some of my interests include Running, Weightlifting, and History, Probability, and my major is Computer Science. Can't wait to meet you!",Computer Science,2017
TaylorDavis1,1,TaylorDavis@uni.edu,d2U%i8Kz*4,Taylor,Davis,She/Her,Northwestern University,5/22/97,"Music, Physics","Golfing, Yoga, Zumba",yes,,5,,"Hi there, my name is Taylor Davis! Some of my interests include Golfing, Yoga, Zumba, and Music, Physics, and my major is Psychology. Can't wait to meet you!",Psychology,2018
AlexLee9,9,AlexLee@uni.edu,k7B%i1Qz!9,Alex,Lee,He/Him,Purdue University,11/8/99,"Algebra, Foreign Languages","Boxing, Weightlifting, CrossFit",yes,,4,,"Hi there, my name is Alex Lee! Some of my interests include Boxing, Weightlifting, CrossFit, and Algebra, Foreign Languages, and my major is Biology. Can't wait to meet you!",Biology,2019
CaseySantos5,5,CaseySantos@uni.edu,o9M%i4Yz*6,Casey,Santos,She/Her,University of Wisconsin-Madison,9/30/00,"Calculus, Statistics","Cycling, Yoga, Pilates",yes,,3,,"Hi there, my name is Casey Santos! Some of my interests include Cycling, Yoga, Pilates, and Calculus, Statistics, and my major is Marketing. Can't wait to meet you!",Marketing,2020
MorganRossi5,5,MorganRossi@uni.edu,n5X%i2Ez@3,Morgan,Rossi,She/Her,Indiana University Bloomington,7/12/96,"Literature, Political Science","Golfing, Cardio, Running",yes,,4,,"Hi there, my name is Morgan Rossi! Some of my interests include Golfing, Cardio, Running, and Literature, Political Science, and my major is Sociology. Can't wait to meet you!",Sociology,2021
JamieSmith1,1,JamieSmith@uni.edu,r6D%i1Hg!9,Jamie,Smith,He/Him,University of Maryland,2/18/01,"Biology, Finite Math, Writing","Dance, Running, Yoga",yes,,4,,"Hi there, my name is Jamie Smith! Some of my interests include Dance, Running, Yoga, and Biology, Finite Math, Writing, and my major is Political Science. Can't wait to meet you!",Political Science,2022
RileyKim4,4,RileyKim@uni.edu,t4J%i7Pz*5,Riley,Kim,She/Her,University of Michigan,6/25/97,"Chemistry, Philosophy","Hiking, Cardio, Martial Arts",yes,,5,,"Hi there, my name is Riley Kim! Some of my interests include Hiking, Cardio, Martial Arts, and Chemistry, Philosophy, and my major is Finance. Can't wait to meet you!",Finance,2023
AveryRodriguez7,7,AveryRodriguez@uni.edu,c9Y%i2Rz@1,Avery,Rodriguez,He/Him,Michigan State University ,12/4/98,"Probability, Trigonometry","Boxing, Pilates, Cycling",yes,,5,,"Hi there, my name is Avery Rodriguez! Some of my interests include Boxing, Pilates, Cycling, and Probability, Trigonometry, and my major is English. Can't wait to meet you!",English,2024
CameronPatel4,4,CameronPatel@uni.edu,i5B%i8Tz!3,Cameron,Patel,He/Him,Ohio State University,8/17/02,"Science, Algebra","Yoga, Cardio, Cycling, Pilates",yes,,4,,"Hi there, my name is Cameron Patel! Some of my interests include Yoga, Cardio, Cycling, Pilates, and Science, Algebra, and my major is Nursing. Can't wait to meet you!",Nursing,2025
QuinnNguyen2,2,QuinnNguyen@uni.edu,u2W%i4Kz@1,Quinn,Nguyen,He/Him,Pennsylvania State University,4/29/95,"Sociology, Geometry, Computer Science","Cardio, CrossFit, Weightlifting",yes,,2,,"Hi there, my name is Quinn Nguyen! Some of my interests include Cardio, CrossFit, Weightlifting, and Sociology, Geometry, Computer Science, and my major is Electrical Engineering. Can't wait to meet you!",Electrical Engineering,2026
JordanHernandez7,7,JordanHernandez@uni.edu,a8V%i5Gz*3,Jordan,Hernandez,He/Him,Rutgers University,10/11/01,"Speaking, History","Boxing, Running, Strength, Yoga",yes,,2,,"Hi there, my name is Jordan Hernandez! Some of my interests include Boxing, Running, Strength, Yoga, and Speaking, History, and my major is History. Can't wait to meet you!",History,2015
TaylorGarcia1,1,TaylorGarcia@uni.edu,z7Q%i1Lz!6,Taylor,Garcia,He/Him,University of Illinois - Urbana Champaign,1/23/96,"Statistics, Economics","Cycling, Martial Arts, Pilates, Walking",yes,,5,,"Hi there, my name is Taylor Garcia! Some of my interests include Cycling, Martial Arts, Pilates, Walking, and Statistics, Economics, and my major is Environmental Science. Can't wait to meet you!",Environmental Science,2027
AlexWang5,5,AlexWang@uni.edu,w3T%i8Hg!2,Alex,Wang,He/Him,University of Minnesota,7/2/00,"Political Science, Writing","CrossFit, Cycling, Yoga",yes,,4,,"Hi there, my name is Alex Wang! Some of my interests include CrossFit, Cycling, Yoga, and Political Science, Writing, and my major is Chemistry. Can't wait to meet you!",Chemistry,2015
CaseyJohnson1,1,CaseyJohnson@uni.edu,s1O%i5Cz*7,Casey,Johnson,They/Them,University of Nebraska,9/19/97,"Foreign Languages, Music, Calculus","Boxing, Dance, Hiking, Weightlifting",yes,,3,,"Hi there, my name is Casey Johnson! Some of my interests include Boxing, Dance, Hiking, Weightlifting, and Foreign Languages, Music, Calculus, and my major is Mathematics. Can't wait to meet you!",Mathematics,2016
MorganSilva9,9,MorganSilva@uni.edu,m2J%i7Fz@5,Morgan,Silva,He/Him,Northwestern University,3/8/99,"Physics, Psychology","Cardio, Golfing, Pilates, Zumba",yes,,2,,"Hi there, my name is Morgan Silva! Some of my interests include Cardio, Golfing, Pilates, Zumba, and Physics, Psychology, and my major is Business Administration. Can't wait to meet you!",Business Administration,2017
JamieLopez5,5,JamieLopez@uni.edu,p8Z%i1Nz*6,Jamie,Lopez,He/Him,Purdue University,11/27/94,"Probability, Literature","Running, Strength, Weightlifting",yes,,5,,"Hi there, my name is Jamie Lopez! Some of my interests include Running, Strength, Weightlifting, and Probability, Literature, and my major is Communication Studies. Can't wait to meet you!",Communication Studies,2018
RileyTakahashi4,4,RileyTakahashi@uni.edu,h7L%i3Yz!1,Riley,Takahashi,He/Him,University of Wisconsin-Madison,5/15/02,"Accounting, Sociology, Geometry",Dance,yes,,4,,"Hi there, my name is Riley Takahashi! Some of my interests include Dance, and Accounting, Sociology, Geometry, and my major is Graphic Design. Can't wait to meet you!",Graphic Design,2019
AveryAli9,9,AveryAli@uni.edu,j6F%i8Vz!4,Avery,Ali,He/Him,Indiana University Bloomington,8/6/98,"Biology, Finite Math, Algebra",Weighlifting,yes,,2,,"Hi there, my name is Avery Ali! Some of my interests include Weighlifting, and Biology, Finite Math, Algebra, and my major is Economics. Can't wait to meet you!",Economics,2020
CameronMartinez3,3,CameronMartinez@uni.edu,x2N%i1Kz@7,Cameron,Martinez,He/Him,University of Maryland,12/31/01,"Chemistry, Political Science","CrossFit, Cycling",yes,yes,3,,"Hi there, my name is Cameron Martinez! Some of my interests include CrossFit, Cycling, and Chemistry, Political Science, and my major is Mechanical Engineering. Can't wait to meet you!",Mechanical Engineering,2021
QuinnKimura2,2,QuinnKimura@uni.edu,g5U%i9Rz*3,Quinn,Kimura,He/Him,University of Michigan,6/9/96,"Philosophy, Computer Science",Pilates,yes,yes,2,,"Hi there, my name is Quinn Kimura! Some of my interests include Pilates, and Philosophy, Computer Science, and my major is Criminal Justice. Can't wait to meet you!",Criminal Justice,2022
SydneyMurphy6,6,SydneyMurphy@uni.edu,d9W%i4Bz!1,Sydney,Murphy,She/Her,Michigan State University ,2/14/00,"Trigonometry, Writing",CrossFit,yes,,3,,"Hi there, my name is Sydney Murphy! Some of my interests include CrossFit, and Trigonometry, Writing, and my major is Public Health. Can't wait to meet you!",Public Health,2023
SkylarSingh9,9,SkylarSingh@uni.edu,e7K%i3Pz*5,Skylar,Singh,She/Her,Ohio State University,10/23/95,"Statistics, Science","Weightlifting, Yoga, Zumba",yes,,5,,"Hi there, my name is Skylar Singh! Some of my interests include Weightlifting, Yoga, Zumba, and Statistics, Science, and my major is Journalism. Can't wait to meet you!",Journalism,2024
PatDavis8,8,PatDavis@uni.edu,l4S%i1Mz!9,Pat,Davis,He/Him,Pennsylvania State University,4/7/97,"History, Probability, Physics","Golfing, Pilates, Walking",yes,,5,,"Hi there, my name is Pat Davis! Some of my interests include Golfing, Pilates, Walking, and History, Probability, Physics, and my major is Physics. Can't wait to meet you!",Physics,2025
DakotaLee9,9,DakotaLee@uni.edu,f8H%i5Gz*3,Dakota,Lee,He/Him,Rutgers University,1/11/02,"Music, Economics",Running,yes,,2,,"Hi there, my name is Dakota Lee! Some of my interests include Running, and Music, Economics, and my major is Education. Can't wait to meet you!",Education,2026
JadenSantos9,9,JadenSantos@uni.edu,q1X%i7Fz@5,Jaden,Santos,He/Him,University of Illinois - Urbana Champaign,9/28/99,"Algebra, Foreign Languages, Sociology","CrossFit, Cycling, Yoga",yes,,5,,"Hi there, my name is Jaden Santos! Some of my interests include CrossFit, Cycling, Yoga, and Algebra, Foreign Languages, Sociology, and my major is Anthropology. Can't wait to meet you!",Anthropology,2015
CharlieRossi4,4,CharlieRossi@uni.edu,c3A%i8Tz!4,Charlie,Rossi,He/Him,University of Minnesota,3/5/98,"Calculus, Literature, Chemistry","Boxing, Dance, Hiking, Weightlifting",yes,,2,,"Hi there, my name is Charlie Rossi! Some of my interests include Boxing, Dance, Hiking, Weightlifting, and Calculus, Literature, Chemistry, and my major is Philosophy. Can't wait to meet you!",Philosophy,2027
EmersonSmith9,9,EmersonSmith@uni.edu,k5B%i2Oz*7,Emerson,Smith,She/Her,University of Nebraska,7/21/94,Accounting,Cardio,yes,,5,,"Hi there, my name is Emerson Smith! Some of my interests include Cardio, and Accounting, and my major is Art History. Can't wait to meet you!",Art History,2015
TaylorKim6,6,TaylorKim@uni.edu,o8C%i4Lz@1,Taylor,Kim,She/Her,Northwestern University,11/14/00, Algebra,"Running, Strength, Weightlifting",yes,,2,,"Hi there, my name is Taylor Kim! Some of my interests include Running, Strength, Weightlifting, and  Algebra, and my major is Human Resource Management. Can't wait to meet you!",Human Resource Management,2016
AveryRodriguez6,6,AveryRodriguez@uni.edu,v6R%i3Nz!2,Avery,Rodriguez,She/Her,Purdue University,5/2/97, Biology,"Boxing, Cycling, Martial Arts, Yoga",yes,,5,,"Hi there, my name is Avery Rodriguez! Some of my interests include Boxing, Cycling, Martial Arts, Yoga, and  Biology, and my major is International Relations. Can't wait to meet you!",International Relations,2017
JordanPatel4,4,JordanPatel@uni.edu,n9I%i4Wz*6,Jordan,Patel,She/Her,University of Wisconsin-Madison,8/13/95, Calculus,"Yoga, Walking",yes,,2,,"Hi there, my name is Jordan Patel! Some of my interests include Yoga, Walking, and  Calculus, and my major is Civil Engineering. Can't wait to meet you!",Civil Engineering,2018
MorganNguyen7,7,MorganNguyen@uni.edu,r1Y%i8Sg!2,Morgan,Nguyen,She/Her,Indiana University Bloomington,1/26/01, Chemistry,"Golfing, Zumba",,yes,4,,"Hi there, my name is Morgan Nguyen! Some of my interests include Golfing, Zumba, and  Chemistry, and my major is Music. Can't wait to meet you!",Music,2019
AlexHernandez1,1,AlexHernandez@uni.edu,z3E%i5Hz*7,Alex,Hernandez,She/Her,University of Maryland,6/18/98, Computer Science,"Cardio, CrossFit, Weightlifting",,yes,3,,"Hi there, my name is Alex Hernandez! Some of my interests include Cardio, CrossFit, Weightlifting, and  Computer Science, and my major is Social Work. Can't wait to meet you!",Social Work,2020
RileyGarcia3,3,RileyGarcia@uni.edu,u6B%i1Vz!9,Riley,Garcia,She/Her,University of Michigan,12/7/99, Economics,"Boxing, Running, Strength, Yoga",,yes,5,,"Hi there, my name is Riley Garcia! Some of my interests include Boxing, Running, Strength, Yoga, and  Economics, and my major is Chemistry. Can't wait to meet you!",Chemistry,2021
CaseyWang8,8,CaseyWang@uni.edu,w8O%i3Tz*5,Casey,Wang,She/Her,Michigan State University ,4/24/96, Finite Math,"Cycling, Martial Arts, Pilates, Walking",,yes,2,,"Hi there, my name is Casey Wang! Some of my interests include Cycling, Martial Arts, Pilates, Walking, and  Finite Math, and my major is Film Studies. Can't wait to meet you!",Film Studies,2022
JamieJohnson7,7,JamieJohnson@uni.edu,s4J%i7Pz!1,Jamie,Johnson,She/Her,Ohio State University,10/1/02, Foreign Languages,"CrossFit, Cycling, Yoga",yes,yes,5,,"Hi there, my name is Jamie Johnson! Some of my interests include CrossFit, Cycling, Yoga, and  Foreign Languages, and my major is Accounting. Can't wait to meet you!",Accounting,2023
CameronSilva9,9,CameronSilva@uni.edu,i9M%i2Qz@3,Cameron,Silva,She/Her,Pennsylvania State University,2/11/97, Geometry,"Boxing, Dance, Hiking, Weightlifting",yes,,2,,"Hi there, my name is Cameron Silva! Some of my interests include Boxing, Dance, Hiking, Weightlifting, and  Geometry, and my major is Linguistics. Can't wait to meet you!",Linguistics,2024
QuinnLopez8,8,QuinnLopez@uni.edu,t1P%i8Kz!6,Quinn,Lopez,He/Him,Rutgers University,8/29/01, Geography,"Dance, Martial Arts, Hiking",yes,,4,,"Hi there, my name is Quinn Lopez! Some of my interests include Dance, Martial Arts, Hiking, and  Geography, and my major is Marketing. Can't wait to meet you!",Marketing,2025
JordanTakahashi5,5,JordanTakahashi@uni.edu,x5L%i2Nz!9,Jordan,Takahashi,He/Him,University of Illinois - Urbana Champaign,11/20/94, History,"Strength, CrossFit, Walking",yes,,3,,"Hi there, my name is Jordan Takahashi! Some of my interests include Strength, CrossFit, Walking, and  History, and my major is Geology. Can't wait to meet you!",Geology,2026
TaylorAli1,1,TaylorAli@uni.edu,b4S%i9Gz*3,Taylor,Ali,He/Him,University of Minnesota,5/6/00, Literature,"Running, Cycling, Golfing, Zumba",yes,,5,,"Hi there, my name is Taylor Ali! Some of my interests include Running, Cycling, Golfing, Zumba, and  Literature, and my major is Architecture. Can't wait to meet you!",Architecture,2015
AlexMartinez3,3,AlexMartinez@uni.edu,j8C%i5Fz@7,Alex,Martinez,He/Him,University of Nebraska,9/15/98, Math,"Cardio, Zumba, Martial Arts",yes,,4,,"Hi there, my name is Alex Martinez! Some of my interests include Cardio, Zumba, Martial Arts, and  Math, and my major is Nutrition. Can't wait to meet you!",Nutrition,2027
CaseyKimura5,5,CaseyKimura@uni.edu,h6D%i1Tz*9,Casey,Kimura,He/Him,Northwestern University,3/2/95, Music,"Yoga, Golfing, Pilates",yes,,3,,"Hi there, my name is Casey Kimura! Some of my interests include Yoga, Golfing, Pilates, and  Music, and my major is Political Science. Can't wait to meet you!",Political Science,2015
MorganMurphy9,9,MorganMurphy@uni.edu,p7R%i3Yz!1,Morgan,Murphy,They/Them,Purdue University,7/11/99, Philosophy,"Boxing, Running, Swimming, Yoga",yes,,4,,"Hi there, my name is Morgan Murphy! Some of my interests include Boxing, Running, Swimming, Yoga, and  Philosophy, and my major is Computer Engineering. Can't wait to meet you!",Computer Engineering,2016
JamieSingh7,7,JamieSingh@uni.edu,f9V%i2Bz*7,Jamie,Singh,He/Him,University of Wisconsin-Madison,1/17/96, Physics,"Dance, Weightlifting, Pilates",yes,,5,,"Hi there, my name is Jamie Singh! Some of my interests include Dance, Weightlifting, Pilates, and  Physics, and my major is Spanish. Can't wait to meet you!",Spanish,2017
RileyDavis7,7,RileyDavis@uni.edu,l2E%i5Hg!3,Riley,Davis,He/Him,Indiana University Bloomington,6/24/02, Political Science,"Boxing, Golfing, Running, Zumba",yes,,3,,"Hi there, my name is Riley Davis! Some of my interests include Boxing, Golfing, Running, Zumba, and  Political Science, and my major is Sociology. Can't wait to meet you!",Sociology,2018
AveryLee9,9,AveryLee@uni.edu,g4X%i8Iz!6,Avery,Lee,He/Him,University of Maryland,10/10/97, Probability,"Weightlifting, Zumba, CrossFit",,yes,3,,"Hi there, my name is Avery Lee! Some of my interests include Weightlifting, Zumba, CrossFit, and  Probability, and my major is Biomedical Engineering. Can't wait to meet you!",Biomedical Engineering,2019
CameronSantos4,4,CameronSantos@uni.edu,d5Z%i1Mz*9,Cameron,Santos,He/Him,University of Michigan,4/30/98, Psychology,"Cycling, Running, Weightlifting",,yes,3,,"Hi there, my name is Cameron Santos! Some of my interests include Cycling, Running, Weightlifting, and  Psychology, and my major is Theater Arts. Can't wait to meet you!",Theater Arts,2020
QuinnRossi1,1,QuinnRossi@uni.edu,a3Q%i6Pz@1,Quinn,Rossi,He/Him,Michigan State University ,12/13/01, Science,"Dance, Pilates, Swimming",yes,,2,,"Hi there, my name is Quinn Rossi! Some of my interests include Dance, Pilates, Swimming, and  Science, and my major is Economics. Can't wait to meet you!",Economics,2021
TaylorSmith4,4,TaylorSmith@uni.edu,c7T%i4Nz!2,Taylor,Smith,They/Them,Ohio State University,8/22/95, Sociology,"Cardio, Hiking, Dance, Pilates",yes,,5,,"Hi there, my name is Taylor Smith! Some of my interests include Cardio, Hiking, Dance, Pilates, and  Sociology, and my major is Environmental Studies. Can't wait to meet you!",Environmental Studies,2022
JordanKim3,3,JordanKim@uni.edu,m1H%i8Sj2@,Jordan,Kim,She/Her,Pennsylvania State University,2/5/00, Speaking,"Cardio, Dance",yes,,4,,"Hi there, my name is Jordan Kim! Some of my interests include Cardio, Dance, and  Speaking, and my major is Mechanical Engineering. Can't wait to meet you!",Mechanical Engineering,2023
AlexRodriguez2,2,AlexRodriguez@uni.edu,q5F%i2Lz*9,Alex,Rodriguez,She/Her,Rutgers University,5/19/96, Statistics,Dance,yes,,4,,"Hi there, my name is Alex Rodriguez! Some of my interests include Dance, and  Statistics, and my major is Public Relations. Can't wait to meet you!",Public Relations,2024
CaseyPatel4,4,CaseyPatel@uni.edu,k3O%i1Rz!4,Casey,Patel,She/Her,University of Illinois - Urbana Champaign,3/14/98, Trigonometry,Running,yes,,4,,"Hi there, my name is Casey Patel! Some of my interests include Running, and  Trigonometry, and my major is Mathematics. Can't wait to meet you!",Mathematics,2025
MorganNguyen7,7,MorganNguyen@uni.edu,o7Y%i6Pz@1,Morgan,Nguyen,She/Her,University of Minnesota,5/22/97,Accounting,Yoga,yes,,2,,"Hi there, my name is Morgan Nguyen! Some of my interests include Yoga, and Accounting, and my major is Psychology. Can't wait to meet you!",Psychology,2026
JamieHernandez2,2,JamieHernandez@uni.edu,u8N%i2Xy1@,Jamie,Hernandez,She/Her,University of Nebraska,11/8/99, Algebra,Weightlifting,yes,,3,,"Hi there, my name is Jamie Hernandez! Some of my interests include Weightlifting, and  Algebra, and my major is Business Management. Can't wait to meet you!",Business Management,2015
RileyGarcia6,6,RileyGarcia@uni.edu,v9I%i3Kz!6,Riley,Garcia,She/Her,Northwestern University,9/30/00, Biology,"Golfing, Hiking, Pilates, Swimming, Walking",yes,,4,,"Hi there, my name is Riley Garcia! Some of my interests include Golfing, Hiking, Pilates, Swimming, Walking, and  Biology, and my major is History. Can't wait to meet you!",History,2027
AveryWang8,8,AveryWang@uni.edu,s2X%i1Jz@7,Avery,Wang,She/Her,Purdue University,7/12/96, Calculus,"Cardio, Golfing, Cycling, Pilates",yes,,3,,"Hi there, my name is Avery Wang! Some of my interests include Cardio, Golfing, Cycling, Pilates, and  Calculus, and my major is Physics. Can't wait to meet you!",Physics,2019
CameronJohnson7,7,CameronJohnson@uni.edu,w6E%i8Fz!3,Cameron,Johnson,She/Her,University of Wisconsin-Madison,2/18/01, Chemistry,"Strength, Swimming, Zumba",yes,,3,,"Hi there, my name is Cameron Johnson! Some of my interests include Strength, Swimming, Zumba, and  Chemistry, and my major is Nursing. Can't wait to meet you!",Nursing,2020
QuinnSilva1,1,QuinnSilva@uni.edu,r4V%i2Nz*7,Quinn,Silva,She/Her,Indiana University Bloomington,6/25/97, Computer Science,"Dance, Running, Zumba",yes,,5,,"Hi there, my name is Quinn Silva! Some of my interests include Dance, Running, Zumba, and  Computer Science, and my major is Graphic Design. Can't wait to meet you!",Graphic Design,2021
JordanLopez2,2,JordanLopez@uni.edu,z9P%i1Yz!4,Jordan,Lopez,He/Him,University of Maryland,12/4/98, Economics,Hiking,yes,,3,,"Hi there, my name is Jordan Lopez! Some of my interests include Hiking, and  Economics, and my major is Philosophy. Can't wait to meet you!",Philosophy,2022
